stage	label	elapsed_s	peak_rss_kb	exit_status	recorded
05_predict_af2_msa_notmpl	predict_27WO_1	890.39	3685148	0	2026-09-26T06:00:56+08:00
05_predict_af2_msa_notmpl	predict_27AH_1	79.66	2752952	0	2026-09-26T06:02:16+08:00
05_predict_af2_msa_notmpl	predict_8PQM_1	866.75	3557036	0	2026-09-26T06:16:43+08:00
05_predict_af2_msa_notmpl	predict_36MB_1	65.84	2712740	0	2026-09-26T06:17:49+08:00
05_predict_af2_msa_notmpl	predict_8PRR_1	826.43	3520248	0	2026-09-26T06:31:36+08:00
05_predict_af2_msa_notmpl	predict_8S7A_1	797.34	3668268	0	2026-09-26T06:44:54+08:00
05_predict_af2_msa_notmpl	predict_21NG_1	614.17	3078456	0	2026-09-26T06:55:08+08:00
05_predict_af2_msa_notmpl	predict_8P91_1	820.58	3436052	0	2026-09-26T07:08:49+08:00
05_predict_af2_msa_notmpl	predict_8PR6_1	814.03	3235944	0	2026-09-26T07:22:23+08:00
05_predict_af2_msa_notmpl	predict_8KC1_1	65.22	2715824	0	2026-09-26T07:23:29+08:00
05_predict_af2_msa_notmpl	predict_8QB1_1	832.97	3526936	0	2026-09-26T07:37:22+08:00
05_predict_af2_msa_notmpl	predict_8JN0_1	692.97	3114076	0	2026-09-26T07:48:55+08:00
05_predict_af2_msa_notmpl	predict_8Q1W_1	852.78	3502256	0	2026-09-26T08:03:08+08:00
