stage	label	elapsed_s	peak_rss_kb	exit_status	recorded
05_predict_af2_msa_tmpl	predict_8POR_1	2526.91	4649956	0	2026-09-26T15:51:51+08:00
05_predict_af2_msa_tmpl	predict_27WO_1	1103.92	3991956	0	2026-09-26T16:10:16+08:00
05_predict_af2_msa_tmpl	predict_30JI_1	1776.79	3782836	0	2026-09-26T16:39:53+08:00
05_predict_af2_msa_tmpl	predict_36MB_1	141.96	3208700	0	2026-09-26T16:42:16+08:00
05_predict_af2_msa_tmpl	predict_37JY_1	1055.20	3871756	0	2026-09-26T16:59:52+08:00
05_predict_af2_msa_tmpl	predict_8S7A_1	1136.94	4102996	0	2026-09-26T17:18:49+08:00
05_predict_af2_msa_tmpl	predict_35TM_1	92.57	4666944	1	2026-09-26T17:20:22+08:00
05_predict_af2_msa_tmpl	predict_8PR6_1	986.19	4248564	0	2026-09-26T17:36:49+08:00
05_predict_af2_msa_tmpl	predict_8PWC_1	920.99	3680888	0	2026-09-26T17:52:10+08:00
05_predict_af2_msa_tmpl	predict_8JN0_1	949.56	4022720	0	2026-09-26T18:08:00+08:00
05_predict_af2_msa_tmpl	predict_36IQ_1	161.90	3070032	0	2026-09-26T18:10:43+08:00
05_predict_af2_msa_tmpl	predict_10XE_1	813.67	3423600	0	2026-09-26T18:24:17+08:00
