stage	label	elapsed_s	peak_rss_kb	exit_status	recorded
05_predict_af2_nomsa	fetch_af2_weights	253.54	35700	0	2026-09-25T22:03:45+08:00
05_predict_af2_nomsa	predict_27WO_1	69.39	2745416	0	2026-09-25T22:06:16+08:00
05_predict_af2_nomsa	predict_27AH_1	48.03	2719844	0	2026-09-25T22:13:04+08:00
05_predict_af2_nomsa	predict_8PQM_1	65.07	2746852	0	2026-09-25T22:14:09+08:00
05_predict_af2_nomsa	predict_36MB_1	58.61	2766440	0	2026-09-25T22:15:08+08:00
05_predict_af2_nomsa	predict_8PRR_1	62.71	2732748	0	2026-09-25T22:16:12+08:00
05_predict_af2_nomsa	predict_8S7A_1	61.14	2762976	0	2026-09-25T22:17:13+08:00
05_predict_af2_nomsa	predict_21NG_1	79.89	2714144	0	2026-09-25T22:18:33+08:00
05_predict_af2_nomsa	predict_8P91_1	91.11	2707416	0	2026-09-25T22:20:05+08:00
05_predict_af2_nomsa	predict_8PR6_1	81.20	2695112	0	2026-09-25T22:21:27+08:00
05_predict_af2_nomsa	predict_8KC1_1	88.85	2697360	0	2026-09-25T22:22:56+08:00
05_predict_af2_nomsa	predict_8QB1_1	80.05	2716220	0	2026-09-25T22:24:17+08:00
05_predict_af2_nomsa	predict_8JN0_1	95.67	2756584	0	2026-09-25T22:25:53+08:00
05_predict_af2_nomsa	predict_8Q1W_1	100.00	2722772	0	2026-09-25T22:27:34+08:00
05_predict_af2_nomsa	predict_10XE_1	104.77	2715564	0	2026-09-25T22:29:19+08:00
05_predict_af2_nomsa	predict_8RD7_1	97.54	2728748	0	2026-09-25T22:30:57+08:00
05_predict_af2_nomsa	predict_10XH_1	111.05	2710184	0	2026-09-25T22:32:49+08:00
05_predict_af2_nomsa	predict_8Q1V_1	100.79	2717028	0	2026-09-25T22:34:30+08:00
05_predict_af2_nomsa	predict_8JNB_1	99.80	2718124	0	2026-09-25T22:36:11+08:00
05_predict_af2_nomsa	predict_8QAO_1	99.68	2756092	0	2026-09-25T22:37:51+08:00
05_predict_af2_nomsa	predict_8QRY_1	114.15	2717704	0	2026-09-25T22:39:46+08:00
05_predict_af2_nomsa	predict_10XG_1	85.96	2720512	0	2026-09-25T22:41:13+08:00
05_predict_af2_nomsa	predict_13TX_1	91.90	2717476	0	2026-09-25T22:42:45+08:00
