stage	label	elapsed_s	peak_rss_kb	exit_status	recorded
08_predict_pedv	fetch_6U7K	2.29	15640	0	2026-09-26T09:04:06+08:00
08_predict_pedv	fetch_6VV5	0.92	15828	0	2026-09-26T09:04:07+08:00
08_predict_pedv	fetch_7W6M	0.62	16016	0	2026-09-26T09:04:08+08:00
08_predict_pedv	fetch_7W73	0.80	16112	0	2026-09-26T09:04:09+08:00
08_predict_pedv	fetch_7Y6S	0.74	16036	0	2026-09-26T09:04:10+08:00
08_predict_pedv	fetch_7Y6T	1.19	15908	0	2026-09-26T09:04:12+08:00
08_predict_pedv	measure_deposited	16.53	151148	0	2026-09-26T09:04:35+08:00
08_predict_pedv	measure_deposited	4.35	152040	0	2026-09-26T09:23:40+08:00
08_predict_pedv	measure_deposited	2.31	151964	0	2026-09-26T14:56:16+08:00
08_predict_pedv	msa_pedv	66.42	333588	0	2026-09-26T14:57:22+08:00
08_predict_pedv	predict_pedv_af2_msa_notmpl	406.02	3561932	0	2026-09-26T15:04:08+08:00
08_predict_pedv	predict_pedv_af2_nomsa	335.15	3332036	0	2026-09-26T15:09:44+08:00
08_predict_pedv	compare_prediction	0.22	24732	0	2026-09-26T15:09:44+08:00
08_predict_pedv	measure_deposited	2.29	152068	0	2026-09-26T18:24:44+08:00
08_predict_pedv	predict_pedv_af2_msa_notmpl	2.15	237864	0	2026-09-26T18:24:46+08:00
08_predict_pedv	predict_pedv_af2_nomsa	2.04	237748	0	2026-09-26T18:24:48+08:00
08_predict_pedv	compare_prediction	0.28	24444	0	2026-09-26T18:24:48+08:00
08_predict_pedv	measure_deposited	1.81	152036	0	2026-09-26T18:26:45+08:00
08_predict_pedv	msa_pedv	5.61	333960	0	2026-09-26T18:26:51+08:00
08_predict_pedv	predict_pedv_af2_msa_notmpl	575.81	3500700	0	2026-09-26T18:36:27+08:00
08_predict_pedv	predict_pedv_af2_nomsa	378.15	3246848	0	2026-09-26T18:42:45+08:00
08_predict_pedv	compare_prediction	0.58	24556	0	2026-09-26T18:42:46+08:00
08_predict_pedv	measure_deposited	2.26	152092	0	2026-09-26T18:44:38+08:00
08_predict_pedv	msa_pedv	124.72	375128	0	2026-09-26T18:46:43+08:00
08_predict_pedv	predict_pedv_af2_msa_notmpl	1728.81	3803552	0	2026-09-26T19:15:32+08:00
08_predict_pedv	predict_pedv_af2_nomsa	609.37	3123680	0	2026-09-26T19:25:41+08:00
08_predict_pedv	compare_prediction	0.17	24540	0	2026-09-26T19:25:42+08:00
