stage	label	elapsed_s	peak_rss_kb	exit_status	recorded
09_dock_crystal	clone_stage1	2.11	19204	0	2026-09-26T08:50:49+08:00
09_dock_crystal	prepare_inputs	0.77	31584	0	2026-09-26T08:50:51+08:00
09_dock_crystal	stage1_04_prepare.py	13.15	60860	0	2026-09-26T08:51:06+08:00
09_dock_crystal	stage1_04_prepare.py	7.54	190440	1	2026-09-26T08:51:14+08:00
09_dock_crystal	prepare_inputs	1.04	32704	0	2026-09-26T08:55:34+08:00
09_dock_crystal	stage1_04_prepare.py	4.59	57264	0	2026-09-26T08:55:40+08:00
09_dock_crystal	stage1_04_prepare.py	5.39	200160	0	2026-09-26T08:55:45+08:00
09_dock_crystal	stage1_05_define_boxes.py	0.82	57164	0	2026-09-26T08:55:46+08:00
09_dock_crystal	stage1_dock_vina	287.13	575468	0	2026-09-26T09:00:34+08:00
09_dock_crystal	stage1_dock_vinardo	382.49	190312	0	2026-09-26T09:06:56+08:00
09_dock_crystal	stage1_dock_null	5.57	190740	0	2026-09-26T09:07:02+08:00
09_dock_crystal	stage1_score	18.80	177644	0	2026-09-26T09:07:21+08:00
09_dock_crystal	collect_results	0.59	14492	0	2026-09-26T09:07:22+08:00
09_dock_crystal	prepare_inputs	0.90	41384	0	2026-09-26T16:57:06+08:00
09_dock_crystal	stage1_04_prepare.py	18.47	56892	0	2026-09-26T16:57:26+08:00
09_dock_crystal	stage1_04_prepare.py	7.51	200920	0	2026-09-26T16:57:34+08:00
09_dock_crystal	stage1_05_define_boxes.py	0.67	57416	0	2026-09-26T16:57:34+08:00
09_dock_crystal	stage1_dock_vina	0.03	7820	0	2026-09-26T16:57:35+08:00
09_dock_crystal	stage1_dock_vinardo	0.03	7876	0	2026-09-26T16:57:35+08:00
09_dock_crystal	stage1_dock_null	0.05	7832	0	2026-09-26T16:57:35+08:00
09_dock_crystal	stage1_score	104.92	203624	0	2026-09-26T16:59:20+08:00
09_dock_crystal	collect_results	0.21	14744	0	2026-09-26T16:59:20+08:00
09_dock_crystal	prepare_inputs	0.29	41828	0	2026-09-26T17:00:49+08:00
09_dock_crystal	stage1_04_prepare.py	0.05	24724	0	2026-09-26T17:00:50+08:00
09_dock_crystal	stage1_04_prepare.py	1.05	199692	0	2026-09-26T17:00:51+08:00
09_dock_crystal	stage1_05_define_boxes.py	0.27	57368	0	2026-09-26T17:00:51+08:00
09_dock_crystal	prepare_inputs	0.51	41656	0	2026-09-26T18:27:00+08:00
09_dock_crystal	stage1_04_prepare.py	0.09	24648	0	2026-09-26T18:27:01+08:00
09_dock_crystal	stage1_04_prepare.py	1.77	199668	0	2026-09-26T18:27:02+08:00
09_dock_crystal	stage1_05_define_boxes.py	0.45	57764	0	2026-09-26T18:27:03+08:00
09_dock_crystal	stage1_dock_vina	1378.74	1040376	0	2026-09-26T18:50:02+08:00
09_dock_crystal	stage1_dock_vinardo	598.56	183988	0	2026-09-26T19:00:01+08:00
09_dock_crystal	stage1_dock_null	6.80	184384	0	2026-09-26T19:00:08+08:00
09_dock_crystal	stage1_score	109.46	185968	0	2026-09-26T19:01:57+08:00
09_dock_crystal	collect_results	0.43	14188	0	2026-09-26T19:01:58+08:00
