stage	label	elapsed_s	peak_rss_kb	exit_status	recorded
09_dock_predicted	prepare_inputs	0.49	41900	0	2026-09-26T14:56:13+08:00
09_dock_predicted	prepare_inputs	1.44	57012	0	2026-09-26T15:37:21+08:00
09_dock_predicted	stage1_04_prepare.py	31.42	57264	0	2026-09-26T15:37:54+08:00
09_dock_predicted	stage1_04_prepare.py	11.74	200188	0	2026-09-26T15:38:05+08:00
09_dock_predicted	stage1_05_define_boxes.py	0.55	57656	0	2026-09-26T15:38:06+08:00
09_dock_predicted	prepare_inputs	1.48	56696	0	2026-09-26T16:23:04+08:00
09_dock_predicted	stage1_04_prepare.py	0.19	24308	0	2026-09-26T16:23:05+08:00
09_dock_predicted	stage1_04_prepare.py	6.76	198312	0	2026-09-26T16:23:12+08:00
09_dock_predicted	stage1_05_define_boxes.py	0.50	57324	0	2026-09-26T16:23:13+08:00
09_dock_predicted	stage1_dock_vina	1154.47	1039460	0	2026-09-26T16:42:28+08:00
09_dock_predicted	stage1_dock_vinardo	765.58	186248	0	2026-09-26T16:55:13+08:00
09_dock_predicted	stage1_dock_null	4.09	186392	0	2026-09-26T16:55:18+08:00
09_dock_predicted	stage1_score	105.37	203416	0	2026-09-26T16:57:03+08:00
09_dock_predicted	collect_results	0.36	14320	0	2026-09-26T16:57:04+08:00
09_dock_predicted	prepare_inputs	1.35	56228	0	2026-09-26T17:50:31+08:00
09_dock_predicted	stage1_04_prepare.py	0.27	24392	0	2026-09-26T17:50:32+08:00
09_dock_predicted	stage1_04_prepare.py	6.99	198528	0	2026-09-26T17:50:39+08:00
09_dock_predicted	stage1_05_define_boxes.py	0.60	57548	0	2026-09-26T17:50:40+08:00
09_dock_predicted	stage1_dock_vina	1627.01	1040096	0	2026-09-26T18:17:47+08:00
09_dock_predicted	stage1_dock_vinardo	504.22	185752	0	2026-09-26T18:26:12+08:00
09_dock_predicted	stage1_dock_null	1.75	186976	0	2026-09-26T18:26:13+08:00
09_dock_predicted	stage1_score	44.36	186016	0	2026-09-26T18:26:58+08:00
09_dock_predicted	collect_results	0.16	14928	0	2026-09-26T18:26:58+08:00
