arm	method	n_attempted	n_scored	n_assessed	n_rmsd_within_2a	rate_rmsd_within_2a	n_success	rate_success	ci_low	ci_high	median_top1_rmsd	note	recorded
crystal/A0_null	vina	3	2	2	0	0.0	0	0.0	0.0	0.6576	7.125	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T09:07:22+08:00
crystal/A2_genconf_refbox	vina	3	2	2	1	0.5	0	0.0	0.0	0.6576	6.745	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T09:07:22+08:00
crystal/A2_genconf_refbox	vinardo	3	2	2	1	0.5	0	0.0	0.0	0.6576	7.093	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T09:07:22+08:00
predicted/A0_null	vina	15	14	14	0	0.0	0	0.0	0.0	0.2153	6.774	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T16:57:03+08:00
predicted/A2_genconf_refbox	vina	15	13	13	1	0.0769	1	0.0769	0.0137	0.3331	8.012	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T16:57:03+08:00
predicted/A2_genconf_refbox	vinardo	15	11	11	1	0.0909	1	0.0909	0.0162	0.3774	7.713	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T16:57:03+08:00
crystal/A0_null	vina	3	2	2	0	0.0	0	0.0	0.0	0.6576	7.125	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T16:59:20+08:00
crystal/A2_genconf_refbox	vina	3	2	2	1	0.5	0	0.0	0.0	0.6576	6.745	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T16:59:20+08:00
crystal/A2_genconf_refbox	vinardo	3	2	2	1	0.5	0	0.0	0.0	0.6576	7.093	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T16:59:20+08:00
predicted/A0_null	vina	13	12	12	0	0.0	0	0.0	0.0	0.2425	6.745	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T18:26:58+08:00
predicted/A2_genconf_refbox	vina	13	11	11	1	0.0909	1	0.0909	0.0162	0.3774	7.904	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T18:26:58+08:00
predicted/A2_genconf_refbox	vinardo	13	9	9	1	0.1111	1	0.1111	0.0199	0.435	7.713	success requires the pose within 2 Angstrom and every physical check passed	2026-09-26T18:26:58+08:00
