target_id	stage	arm	reason	detail	recorded
10PI_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T19:44:37+08:00
10PI_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T19:47:29+08:00
10PI_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T19:48:29+08:00
10PI_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T21:46:33+08:00
12YI_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T21:46:33+08:00
23EF_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T21:46:33+08:00
23EO_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T21:46:33+08:00
31AL_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T21:46:33+08:00
8JL2_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T21:46:33+08:00
8JLS_1	02_build_holdout_set		sequence contains non-standard letters: X		2026-09-25T21:46:33+08:00
8JYI_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8KAA_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
32OA_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8PYV_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8PYW_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
22LX_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
32QT_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8RYS_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8T5A_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8PQR_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8Q6M_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
10DA_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8KHU_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
10UT_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8JUC_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8T7K_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:33+08:00
8PX5_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:34+08:00
26JK_1	02_build_holdout_set		beyond the 97 targets the wall-clock budget allows; the set was cut by length, keeping the shortest		2026-09-25T21:46:34+08:00
