target_id	pdb_id	comp_id	label_asym_id	auth_asym_id	formula_weight	heavy_atoms	rscc	rsr	completeness	is_subject_of_investigation	covalent	status	reason	recorded
10AF_1	10AF	CL	E	A	35.453	1	0.974	0.077	1.0	N	0	rejected	formula weight 35.453 outside 100 to 900; 1 heavy atoms, below 10; not flagged as the subject of investigation	2026-09-25T21:50:35+08:00
10AF_1	10AF	CL	F	A	35.453	1	0.944	0.095	1.0	N	0	rejected	formula weight 35.453 outside 100 to 900; 1 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.944 below 0.95	2026-09-25T21:50:35+08:00
10AF_1	10AF	CL	G	A	35.453	1	0.955	0.096	1.0	N	0	rejected	formula weight 35.453 outside 100 to 900; 1 heavy atoms, below 10; not flagged as the subject of investigation	2026-09-25T21:50:35+08:00
10AF_1	10AF	SO4	B	A	96.063	5	0.945	0.082	1.0	N	0	rejected	formula weight 96.063 outside 100 to 900; 5 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.945 below 0.95	2026-09-25T21:50:35+08:00
10AF_1	10AF	SO4	C	A	96.063	5	0.781	0.171	1.0	N	0	rejected	formula weight 96.063 outside 100 to 900; 5 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.781 below 0.95	2026-09-25T21:50:35+08:00
10AF_1	10AF	SO4	D	A	96.063	5	0.949	0.076	1.0	N	0	rejected	formula weight 96.063 outside 100 to 900; 5 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.949 below 0.95	2026-09-25T21:50:35+08:00
10CX_1	10CX	2PE	B	A	414.488	28	0.661	0.216	1.0	Y	0	rejected	RSCC 0.661 below 0.95; RSR 0.216 above 0.2	2026-09-25T21:50:35+08:00
10CX_1	10CX	2PE	C	A	414.488	28	0.709	0.213	1.0	Y	0	rejected	RSCC 0.709 below 0.95; RSR 0.213 above 0.2	2026-09-25T21:50:35+08:00
10DA_1	10DA	EDO	F	A	62.068	4	0.866	0.119	1.0	Y	0	rejected	formula weight 62.068 outside 100 to 900; 4 heavy atoms, below 10; RSCC 0.866 below 0.95	2026-09-25T21:50:35+08:00
10DA_1	10DA	NA	E	A	22.99	1	0.997	0.015	1.0	Y	0	rejected	formula weight 22.99 outside 100 to 900; 1 heavy atoms, below 10	2026-09-25T21:50:35+08:00
10DA_1	10DA	NA	G	B	22.99	1	0.998	0.019	1.0	Y	0	rejected	formula weight 22.99 outside 100 to 900; 1 heavy atoms, below 10	2026-09-25T21:50:35+08:00
10DA_1	10DA	NA	I	D	22.99	1	0.996	0.048	1.0	Y	0	rejected	formula weight 22.99 outside 100 to 900; 1 heavy atoms, below 10	2026-09-25T21:50:35+08:00
10DA_1	10DA	PGE	H	B	150.173	10	0.921	0.098	0.7	Y	0	rejected	RSCC 0.921 below 0.95; modelled completeness 0.7	2026-09-25T21:50:35+08:00
10DA_1	10DA	PGE	J	D	150.173	10	0.752	0.175	0.6	Y	0	rejected	RSCC 0.752 below 0.95; modelled completeness 0.6	2026-09-25T21:50:35+08:00
10FS_1	10FS	GOL	G	A	92.094	6	0.871	0.144	1.0	N	0	rejected	formula weight 92.094 outside 100 to 900; 6 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.871 below 0.95	2026-09-25T21:50:35+08:00
10FS_1	10FS	GOL	F	A	92.094	6	0.774	0.142	1.0	N	0	rejected	formula weight 92.094 outside 100 to 900; 6 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.774 below 0.95	2026-09-25T21:50:35+08:00
10FS_1	10FS	GOL	E	A	92.094	6	0.776	0.163	1.0	N	0	rejected	formula weight 92.094 outside 100 to 900; 6 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.776 below 0.95	2026-09-25T21:50:35+08:00
10FS_1	10FS	GOL	D	A	92.094	6	0.806	0.156	1.0	N	0	rejected	formula weight 92.094 outside 100 to 900; 6 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.806 below 0.95	2026-09-25T21:50:35+08:00
10FS_1	10FS	GOL	C	A	92.094	6	0.873	0.137	1.0	N	0	rejected	formula weight 92.094 outside 100 to 900; 6 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.873 below 0.95	2026-09-25T21:50:35+08:00
10FS_1	10FS	GOL	B	A	92.094	6	0.632	0.208	1.0	N	0	rejected	formula weight 92.094 outside 100 to 900; 6 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.632 below 0.95; RSR 0.208 above 0.2	2026-09-25T21:50:35+08:00
10FS_1	10FS	PEG	I	A	106.12	7	0.805	0.183	1.0	N	0	rejected	7 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.805 below 0.95	2026-09-25T21:50:35+08:00
10FS_1	10FS	PEG	H	A	106.12	7	0.826	0.166	1.0	N	0	rejected	7 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.826 below 0.95	2026-09-25T21:50:35+08:00
10JX_1	10JX	CL	F	A	35.453	1	0.936	0.225	1.0	N	0	rejected	formula weight 35.453 outside 100 to 900; 1 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.936 below 0.95; RSR 0.225 above 0.2	2026-09-25T21:50:35+08:00
10JX_1	10JX	EDO	J	A	62.068	4	0.874	0.156	1.0	N	0	rejected	formula weight 62.068 outside 100 to 900; 4 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.874 below 0.95	2026-09-25T21:50:35+08:00
10JX_1	10JX	EDO	I	A	62.068	4	0.775	0.166	1.0	N	0	rejected	formula weight 62.068 outside 100 to 900; 4 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.775 below 0.95	2026-09-25T21:50:35+08:00
10JX_1	10JX	EDO	H	A	62.068	4	0.885	0.139	1.0	N	0	rejected	formula weight 62.068 outside 100 to 900; 4 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.885 below 0.95	2026-09-25T21:50:35+08:00
10JX_1	10JX	FMT	N	B	46.025	3	0.957	0.091	1.0	N	0	rejected	formula weight 46.025 outside 100 to 900; 3 heavy atoms, below 10; not flagged as the subject of investigation	2026-09-25T21:50:35+08:00
10JX_1	10JX	HEM	L	B	616.487	43	0.988	0.063	1.0	Y	0	ok		2026-09-25T21:50:35+08:00
10JX_1	10JX	HEM	C	A	616.487	43	0.974	0.096	1.0	Y	0	ok		2026-09-25T21:50:35+08:00
10JX_1	10JX	IMD	M	B	69.085	5	0.946	0.081	1.0	N	0	rejected	formula weight 69.085 outside 100 to 900; 5 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.946 below 0.95	2026-09-25T21:50:35+08:00
10JX_1	10JX	IMD	D	A	69.085	5	0.862	0.317	1.0	N	0	rejected	formula weight 69.085 outside 100 to 900; 5 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.862 below 0.95; RSR 0.317 above 0.2	2026-09-25T21:50:35+08:00
10JX_1	10JX	MG	K	A	24.305	1	0.913	0.43	1.0	N	0	rejected	formula weight 24.305 outside 100 to 900; 1 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.913 below 0.95; RSR 0.43 above 0.2	2026-09-25T21:50:35+08:00
10JX_1	10JX	PG4	G	A	194.226	13	0.824	0.19	1.0	N	0	rejected	not flagged as the subject of investigation; RSCC 0.824 below 0.95	2026-09-25T21:50:35+08:00
10JX_1	10JX	PO4	E	A	94.971	5	0.838	0.144	1.0	N	0	rejected	formula weight 94.971 outside 100 to 900; 5 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.838 below 0.95	2026-09-25T21:50:35+08:00
10JX_1	10JX	POL	P	B	60.095	4	0.909	0.155	1.0	N	0	rejected	formula weight 60.095 outside 100 to 900; 4 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.909 below 0.95	2026-09-25T21:50:35+08:00
10JX_1	10JX	POL	O	B	60.095	4	0.829	0.212	1.0	N	0	rejected	formula weight 60.095 outside 100 to 900; 4 heavy atoms, below 10; not flagged as the subject of investigation; RSCC 0.829 below 0.95; RSR 0.212 above 0.2	2026-09-25T21:50:35+08:00
