target_id	kind	file	bytes	sha256	source	status	reason	recorded
10AF_1	structure	10AF_1.cif.gz	95200	a33b5bd511fe6a14a5f145067000088e62989353aa2a51d0200e5d42b659b749	files.rcsb.org	ok		2026-09-25T21:51:39+08:00
10CX_1	structure	10CX_1.cif.gz	132864	d1e882e4866e7aeeedac43f98b877194f3ace0d36fcf820814f88355a2d83590	files.rcsb.org	ok		2026-09-25T21:51:39+08:00
10DA_1	structure	10DA_1.cif.gz	355522	d01395021c4840175f78e4cb31c242c25ed7d792bc436fcbd6d7e70fa265bed0	files.rcsb.org	ok		2026-09-25T21:51:40+08:00
10FS_1	structure	10FS_1.cif.gz	185168	f62644b3dfc963a90116ccd70668e93d4fc715a81ba30730fbfff8137f187c69	files.rcsb.org	ok		2026-09-25T21:51:40+08:00
10JX_1	structure	10JX_1.cif.gz	175374	14536aadb35229b77c7de8c1ff3a43cd1eeaa72ce1f338babee22d8babf1c8a3	files.rcsb.org	ok		2026-09-25T21:51:41+08:00
10UT_1	structure	10UT_1.cif.gz	156863	b6be18851cbb8d07c5aec60894b4dc0c22d452b01f01adbda3e37b045a93fe8e	files.rcsb.org	ok		2026-09-25T21:51:41+08:00
10UV_1	structure	10UV_1.cif.gz	132458	8f1b8574ca045d2953bee6817b6ee7a803ba1c2d728971a945eea05273fc3885	files.rcsb.org	ok		2026-09-25T21:51:42+08:00
10UW_1	structure	10UW_1.cif.gz	334780	fd00cd1de678fb48e0dbdfae1a1edaf72f54b7cc59d622c1b80e7c2a4e3cca36	files.rcsb.org	ok		2026-09-25T21:51:43+08:00
10UX_1	structure	10UX_1.cif.gz	315456	c3225b03277cd14ea714d2cc3a4f615bc75f023cf94355702af86295e1f64424	files.rcsb.org	ok		2026-09-25T21:51:44+08:00
10XE_1	structure	10XE_1.cif.gz	166388	4cf1ca5cc90d480531afc0c16b095e6eb26a88557bc2f234ce77cb041194e120	files.rcsb.org	ok		2026-09-25T21:51:45+08:00
10XG_1	structure	10XG_1.cif.gz	66559	db2977c23f7e44d6dea5565c8c55fef0e327b23faf0af41ee61f841d308de5a3	files.rcsb.org	ok		2026-09-25T21:51:45+08:00
10XH_1	structure	10XH_1.cif.gz	99862	59f88dcc802517c17e375c6e78ef8e896e652879456df9c540df27a308f4350e	files.rcsb.org	ok		2026-09-25T21:51:46+08:00
11CH_1	structure	11CH_1.cif.gz	53493	a212d21c0814ff650ff7a6536a014bbf5caccaa65ce7885fbc29f17e3ec45659	files.rcsb.org	ok		2026-09-25T21:51:46+08:00
11OW_1	structure	11OW_1.cif.gz	136912	b86dfd0e6bd1584e78ec52a98127cc9ca8638f0a56e831e6f1eecfed1861847d	files.rcsb.org	ok		2026-09-25T21:51:47+08:00
12FA_1	structure	12FA_1.cif.gz	81244	81fa7bc43a2aeb4c914618d582e77a9e7262ac9efc47d1983d4e2a1ff81f9715	files.rcsb.org	ok		2026-09-25T21:51:48+08:00
12HP_1	structure	12HP_1.cif.gz	201444	d45e726272c39263ee8828de6c7b9607071f98d0f3ff2d3c129ed42010f1ab7a	files.rcsb.org	ok		2026-09-25T21:51:49+08:00
12IS_1	structure	12IS_1.cif.gz	75769	bb51c51aebcd12cbf88cad00b52d2048b7b576468f8916cc307a85dde02a4d16	files.rcsb.org	ok		2026-09-25T21:51:50+08:00
12XX_1	structure	12XX_1.cif.gz	155311	78040edd3f90b8bd2f980ec784c1d00f55623cb2b225d4d2519a67b25d22cc72	files.rcsb.org	ok		2026-09-25T21:51:50+08:00
13EE_1	structure	13EE_1.cif.gz	159163	f96b6a10e8d0ea2e87d410f0e7e65e2984522e767c95e1241b891acd35beddd5	files.rcsb.org	ok		2026-09-25T21:51:51+08:00
13TX_1	structure	13TX_1.cif.gz	132641	eceda1b550d46a63581cb5fef698b7d243cc3d3d40795bb776b09db549495442	files.rcsb.org	ok		2026-09-25T21:51:52+08:00
21EJ_1	structure	21EJ_1.cif.gz	165375	742e5a753c26565e5ccc36bc7f22cc9f37f75f402c4adacbaef072d42c27d17c	files.rcsb.org	ok		2026-09-25T21:51:53+08:00
21LR_1	structure	21LR_1.cif.gz	58356	94c78ad000852dad455bcecd9d458f7e977afbd8d2da3df40f5feff8d4bd55e4	files.rcsb.org	ok		2026-09-25T21:51:54+08:00
21NG_1	structure	21NG_1.cif.gz	47371	8f5c779d075036ac50aeed76477ae55feaa0d53f5f8b38c925b6bced8460f0e1	files.rcsb.org	ok		2026-09-25T21:51:54+08:00
22FG_1	structure	22FG_1.cif.gz	42356	b85b585d0e876cb22f5cbe78d878286d987ff79cd501476fdbd3b324c0851808	files.rcsb.org	ok		2026-09-25T21:51:55+08:00
22FK_1	structure	22FK_1.cif.gz	123640	c8eb2ce62dd49737b3dc794da7d4b5c985692734f65c936c59a36bdc4c132f80	files.rcsb.org	ok		2026-09-25T21:51:55+08:00
22LX_1	structure	22LX_1.cif.gz	47233	c5f7fe382ac02316cb7582bc133d3d032a3ef555760349648cb842c6c68e58c8	files.rcsb.org	ok		2026-09-25T21:51:56+08:00
24MP_1	structure	24MP_1.cif.gz	182113	68e9838c5279dbfc6d7a606e65d975ea8d5efb99fb5fdb88b60e4acc21cdaf93	files.rcsb.org	ok		2026-09-25T21:51:56+08:00
26AO_1	structure	26AO_1.cif.gz	210715	d97802eb6ee410e44025ff2440a7fb8778db79fdcbe5df9c4ac13c80e9162bf3	files.rcsb.org	ok		2026-09-25T21:51:58+08:00
26JK_1	structure	26JK_1.cif.gz	137620	cada5376fd9f5717ca757a5703897a4082543aa938f011dafa2ca7b061e9d387	files.rcsb.org	ok		2026-09-25T21:51:58+08:00
26RW_1	structure	26RW_1.cif.gz	61625	818f257aa8e127523bed9fa4d4bd60e52bf57c00497998cd4ed2c70a5e9d7fb4	files.rcsb.org	ok		2026-09-25T21:51:58+08:00
27AA_1	structure	27AA_1.cif.gz	157327	a14ec226b51e8f38fb455bb6038c96aa55e004a57268106ea069ea90b85c62ea	files.rcsb.org	ok		2026-09-25T21:51:59+08:00
27AH_1	structure	27AH_1.cif.gz	101147	75191c84866a8e6a0821f5c562f22d9da99a419192cc76a9e43d6ad3174da314	files.rcsb.org	ok		2026-09-25T21:52:00+08:00
27JK_1	structure	27JK_1.cif.gz	50063	6a9ccec763d5ff7a6516884223e2b8ccc6ff2b9bdfa2c28f028724dc9e304ca4	files.rcsb.org	ok		2026-09-25T21:52:00+08:00
27WO_1	structure	27WO_1.cif.gz	32202	f71027e7ec8f199942e34b37ca9c02e5a233f111d0a6202190c082d8ed3d23ed	files.rcsb.org	ok		2026-09-25T21:52:00+08:00
28DB_1	structure	28DB_1.cif.gz	134393	03d4619732ded0617975164be89ccdff9482e64c6d3a756309d9b45afed06285	files.rcsb.org	ok		2026-09-25T21:52:01+08:00
29LI_1	structure	29LI_1.cif.gz	70783	49667a5a6f79604e3ea0b6db5351fd81d144f1de0a2c607f922ad25e031c37ef	files.rcsb.org	ok		2026-09-25T21:52:02+08:00
29LW_1	structure	29LW_1.cif.gz	135988	adf41879ab47cae97c1abc47d23d5b4e32d095e4d0e97271f8b2dedd20ea8233	files.rcsb.org	ok		2026-09-25T21:52:03+08:00
30JI_1	structure	30JI_1.cif.gz	110335	da1bc90e2efd4ce0105549ad1de56997e98afc8a8475ec417f2d5214a29a3622	files.rcsb.org	ok		2026-09-25T21:52:03+08:00
31KJ_1	structure	31KJ_1.cif.gz	114056	cca32cd2cfb36730304722ac00b080cf29eada8861c516bc4590b884682f6975	files.rcsb.org	ok		2026-09-25T21:52:04+08:00
32JG_1	structure	32JG_1.cif.gz	146203	e9dd9f86c8ca2a5caa35bbcbdb27941329d6e263bc20383d6bf55fe1eca282f0	files.rcsb.org	ok		2026-09-25T21:52:04+08:00
32OA_1	structure	32OA_1.cif.gz	155510	297d1cd5bf07714f5ff28378c8945dd380c3d299a7de35792fa667e5a63358b4	files.rcsb.org	ok		2026-09-25T21:52:05+08:00
32QT_1	structure	32QT_1.cif.gz	83707	c559015a6ff200865646e177ad51e6d0c5e13483b144093756799ec067cb4b3f	files.rcsb.org	ok		2026-09-25T21:52:06+08:00
35TM_1	structure	35TM_1.cif.gz	165593	e265fe78ab0729b23ce50b8c9ad28d071c0c0e65815cec7ab5124d6ff907b914	files.rcsb.org	ok		2026-09-25T21:52:07+08:00
36IQ_1	structure	36IQ_1.cif.gz	104296	2d7120b709784e5235ab39ca31fa98710192fe7877119e6ea0a4319412fcb43a	files.rcsb.org	ok		2026-09-25T21:52:08+08:00
36IW_1	structure	36IW_1.cif.gz	61357	d3474af7b5dd27f82551182d262043a63f5fe963563f79b41e78a5018bec6080	files.rcsb.org	ok		2026-09-25T21:52:08+08:00
