arm	band	n_residues_at_or_above	n_below_trust	fraction_below_trust	trust_line	recorded
af2_nomsa	50	2752	1737	0.6312	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	55	2077	1096	0.5277	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	60	1633	713	0.4366	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	65	1251	423	0.3381	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	70	1020	270	0.2647	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	75	873	183	0.2096	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	80	727	120	0.1651	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	85	551	79	0.1434	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	90	287	42	0.1463	0.7	2026-09-26T00:04:08+08:00
af2_nomsa	95	38	6	0.1579	0.7	2026-09-26T00:04:08+08:00
