structure_a	chain_a	structure_b	chain_b	sequence_identity	n_body_aligned	body_rmsd	n_domain_compared	domain_displacement	domain_centroid_shift	note	recorded
6U7K	A	6VV5	A	91.4	725	1.028	294	17.34	5.676	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
6U7K	A	7W6M	A	95.3	754	2.71	310	16.878	3.795	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
6U7K	A	7W73	A	95.3	754	2.835	310	4.656	2.369	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
6U7K	A	7Y6S	A	85.8	604	3.252	292	7.399	5.712	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
6U7K	A	7Y6T	A	86.7	654	3.978	310	16.488	5.63	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
6VV5	A	7W6M	A	98.7	752	1.906	345	2.376	1.811	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
6VV5	A	7W73	A	98.7	752	2.099	345	31.211	16.851	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
6VV5	A	7Y6S	A	92.3	619	2.305	321	27.957	13.219	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
6VV5	A	7Y6T	A	90.5	662	3.704	345	3.076	1.338	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
7W6M	A	7W73	A	100.0	1016	1.074	208	54.451	44.192	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
7W6M	A	7Y6S	A	99.8	840	4.21	164	43.12	31.308	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
7W6M	A	7Y6T	A	99.8	916	4.037	208	6.975	2.955	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
7W73	A	7Y6S	A	99.8	841	4.079	163	10.74	7.466	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
7W73	A	7Y6T	A	99.8	917	3.98	207	53.511	44.113	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
7Y6S	A	7Y6T	A	100.0	657	1.104	347	29.157	14.258	superposed on the body only; the domain was not fitted	2026-09-26T09:13:47+08:00
