target_id	sequence_length	depth	bytes	server	queue_at_submission	elapsed_s	status	reason	recorded
27WO_1	81	12820	1803885	https://api.colabfold.com	{"queued":47}	59	ok		2026-09-25T21:54:51+08:00
27AH_1	82	2	181	https://api.colabfold.com	{"queued":54}	3	ok		2026-09-25T21:55:00+08:00
8PQM_1	82	19183	2752108	https://api.colabfold.com	{"queued":56}	171	ok		2026-09-25T21:57:57+08:00
36MB_1	83	2	183	https://api.colabfold.com	{"queued":48}	27	ok		2026-09-25T21:58:30+08:00
8PRR_1	84	24594	3694721	https://api.colabfold.com	{"queued":51}	101	ok		2026-09-25T22:00:18+08:00
8S7A_1	84	9800	1467405	https://api.colabfold.com	{"queued":52}	47	ok		2026-09-25T22:01:11+08:00
21NG_1	85	3277	486800	https://api.colabfold.com	{"queued":32}	31	ok		2026-09-25T22:01:49+08:00
8P91_1	85	8935	1291171	https://api.colabfold.com	{"queued":35}	29	ok		2026-09-25T22:02:24+08:00
8PR6_1	85	6109	891592	https://api.colabfold.com	{"queued":38}	5	ok		2026-09-25T22:02:35+08:00
8KC1_1	87	2	191	https://api.colabfold.com	{"queued":29}	4	ok		2026-09-25T22:02:45+08:00
8QB1_1	88	5907	901565	https://api.colabfold.com	{"queued":31}	4	ok		2026-09-25T22:02:55+08:00
8JN0_1	89	3973	618876	https://api.colabfold.com	{"queued":25}	4	ok		2026-09-25T22:03:05+08:00
8Q1W_1	89	6576	1058356	https://api.colabfold.com	{"queued":26}	5	ok		2026-09-25T22:03:16+08:00
10XE_1	91	2174	335150	https://api.colabfold.com	{"queued":30}	65	ok		2026-09-25T22:04:27+08:00
8RD7_1	91	5710	904405	https://api.colabfold.com	{"queued":33}	4	ok		2026-09-25T22:04:38+08:00
10XH_1	93	487	74779	https://api.colabfold.com	{"queued":35}	39	ok		2026-09-25T22:05:23+08:00
8Q1V_1	93	9086	1468016	https://api.colabfold.com	{"queued":31}	6	ok		2026-09-25T22:05:35+08:00
8JNB_1	94	1073	170411	https://api.colabfold.com	{"queued":34}	41	ok		2026-09-25T22:06:23+08:00
8QAO_1	95	6305	970801	https://api.colabfold.com	{"queued":32}	599	ok		2026-09-25T22:16:28+08:00
8QRY_1	96	45	6818	https://api.colabfold.com	{"queued":40}	31	ok		2026-09-25T22:17:05+08:00
10XG_1	97	1544	246434	https://api.colabfold.com	{"queued":31}	4	ok		2026-09-25T22:17:15+08:00
13TX_1	97	17	2472	https://api.colabfold.com	{"queued":33}	4	ok		2026-09-25T22:17:25+08:00
8Q0S_1	97	8	1151	https://api.colabfold.com	{"queued":32}	60	ok		2026-09-25T22:18:31+08:00
8QJ6_1	97	7349	1272226	https://api.colabfold.com	{"queued":24}	64	ok		2026-09-25T22:19:41+08:00
36IQ_1	98	2	213	https://api.colabfold.com	{"queued":23}	5	ok		2026-09-25T22:19:52+08:00
8PJQ_1	98	18578	3011496	https://api.colabfold.com	{"queued":25}	88	ok		2026-09-25T22:21:28+08:00
31KJ_1	99	2	215	https://api.colabfold.com	{"queued":26}	4	ok		2026-09-25T22:21:39+08:00
8RNZ_1	100	4196	685668	https://api.colabfold.com	{"queued":22}	4	ok		2026-09-25T22:21:49+08:00
12FA_1	104	1057	171789	https://api.colabfold.com	{"queued":19}	27	ok		2026-09-25T22:22:22+08:00
8KBM_1	104	3427	568822	https://api.colabfold.com	{"queued":22}	7	ok		2026-09-25T22:22:35+08:00
8PHY_1	104	32	5095	https://api.colabfold.com	{"queued":23}	57	ok		2026-09-25T22:23:38+08:00
8JU7_1	105	42	7035	https://api.colabfold.com	{"queued":12}	6	ok		2026-09-25T22:23:50+08:00
8R3F_1	105	3009	514285	https://api.colabfold.com	{"queued":19}	49	ok		2026-09-25T22:24:45+08:00
22FK_1	106	15782	2802654	https://api.colabfold.com	{"queued":24}	100	ok		2026-09-25T22:26:31+08:00
8RXA_1	109	283	49384	https://api.colabfold.com	{"queued":17}	51	ok		2026-09-25T22:27:29+08:00
8PWC_1	110	1537	270034	https://api.colabfold.com	{"queued":24}	5	ok		2026-09-25T22:27:40+08:00
8R6I_1	114	7706	1387424	https://api.colabfold.com	{"queued":21}	6	ok		2026-09-25T22:27:53+08:00
8RW6_1	114	6504	1163066	https://api.colabfold.com	{"queued":20}	91	ok		2026-09-25T22:29:31+08:00
8Q5F_1	115	14087	2560349	https://api.colabfold.com	{"queued":22}	87	ok		2026-09-25T22:31:04+08:00
8PNM_1	116	8166	1479619	https://api.colabfold.com	{"queued":33}	46	ok		2026-09-25T22:31:57+08:00
8QAZ_1	116	8416	1536644	https://api.colabfold.com	{"queued":35}	8	ok		2026-09-25T22:32:11+08:00
8RU1_1	116	7788	1424431	https://api.colabfold.com	{"queued":32}	8	ok		2026-09-25T22:32:25+08:00
21EJ_1	118	6265	1140515	https://api.colabfold.com	{"queued":36}	100	ok		2026-09-25T22:34:11+08:00
8RF6_1	118	76	13887	https://api.colabfold.com	{"queued":26}	6	ok		2026-09-25T22:34:23+08:00
12HP_1	120	4406	830685	https://api.colabfold.com	{"queued":31}	104	ok		2026-09-25T22:36:15+08:00
44ID_1	120	4210	785989	https://api.colabfold.com	{"queued":31}	91	ok		2026-09-25T22:37:53+08:00
8QKF_1	120	12756	2340659	https://api.colabfold.com	{"queued":22}	78	ok		2026-09-25T22:39:17+08:00
11OW_1	121	20	3636	https://api.colabfold.com	{"queued":21}	6	ok		2026-09-25T22:39:29+08:00
8R28_1	121	1739	323458	https://api.colabfold.com	{"queued":21}	54	ok		2026-09-25T22:40:29+08:00
22FG_1	122	4784	900057	https://api.colabfold.com	{"queued":14}	80	ok		2026-09-25T22:41:55+08:00
8RHO_1	122	7311	1368172	https://api.colabfold.com	{"queued":2}	7	ok		2026-09-25T22:42:08+08:00
