target_id	arm	radius	n_pocket_residues	n_residues_scored	n_ligand_heavy_atoms	pocket_lddt_ca	pocket_lddt_all_atom	pocket_rmsd_all_atom	n_atoms_compared	global_lddt_ca	recorded
8RD7_1	af2_nomsa	4.0	12	12	36	0.471	0.4187		0	0.108	2026-09-26T00:02:23+08:00
8RD7_1	af2_nomsa	5.0	12	12	36	0.471	0.4187		0	0.108	2026-09-26T00:02:23+08:00
8RD7_1	af2_nomsa	6.0	18	18	36	0.4943	0.4321		0	0.108	2026-09-26T00:02:24+08:00
8RD7_1	af2_nomsa	8.0	32	32	36	0.492	0.4313		0	0.108	2026-09-26T00:02:24+08:00
36IQ_1	af2_nomsa	4.0	17	17	39	0.8725	0.7771		0	0.434	2026-09-26T00:02:36+08:00
36IQ_1	af2_nomsa	5.0	20	20	39	0.8835	0.7876		0	0.434	2026-09-26T00:02:36+08:00
36IQ_1	af2_nomsa	6.0	24	24	39	0.8814	0.7943		0	0.434	2026-09-26T00:02:36+08:00
36IQ_1	af2_nomsa	8.0	53	53	39	0.8636	0.7865		0	0.434	2026-09-26T00:02:36+08:00
8KBM_1	af2_nomsa	4.0	12	12	46	0.4427	0.3573		0	0.188	2026-09-26T00:02:45+08:00
8KBM_1	af2_nomsa	5.0	13	13	46	0.4304	0.3468		0	0.188	2026-09-26T00:02:45+08:00
8KBM_1	af2_nomsa	6.0	15	15	46	0.4325	0.3531		0	0.188	2026-09-26T00:02:45+08:00
8KBM_1	af2_nomsa	8.0	25	25	46	0.4166	0.3455		0	0.188	2026-09-26T00:02:45+08:00
8PWC_1	af2_nomsa	4.0	15	15	41	0.5054	0.4443		0	0.191	2026-09-26T00:02:58+08:00
8PWC_1	af2_nomsa	5.0	17	17	41	0.5206	0.4628		0	0.191	2026-09-26T00:02:58+08:00
8PWC_1	af2_nomsa	6.0	26	26	41	0.5293	0.4564		0	0.191	2026-09-26T00:02:58+08:00
8PWC_1	af2_nomsa	8.0	44	44	41	0.5583	0.4763		0	0.191	2026-09-26T00:02:58+08:00
44ID_1	af2_nomsa	4.0	13	13	21	0.2193	0.1648		0	0.113	2026-09-26T00:03:22+08:00
44ID_1	af2_nomsa	5.0	23	23	21	0.2187	0.1601		0	0.113	2026-09-26T00:03:22+08:00
44ID_1	af2_nomsa	6.0	28	28	21	0.2134	0.1499		0	0.113	2026-09-26T00:03:22+08:00
44ID_1	af2_nomsa	8.0	2	2	21	0.221	0.155		0	0.113	2026-09-26T00:03:22+08:00
